diocese,age_4_years_and_under,age_5_9_years,age_10_14_years,age_15_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_years_and_over
Bath and Wells,46625.72196,52660.10605,56020.88114,55248.04569,54169.31516,52557.62525,56956.03322,55316.07443,54573.40271,60422.56112,69544.84447,71660.98622,62786.65113,57957.99285,62226.89867,46595.58497,31793.42931,32257.09506
Birmingham,101261.8943,110877.86083,112537.41985,112396.70826,117116.25113,109314.72778,114262.21396,109942.14956,102671.94924,96701.91626,102367.83053,94007.65147,79059.11051,64605.51985,60173.8517,45980.12289,33469.00375,33476.73161
Blackburn,73801.22609,81362.90817,83790.51357,80642.82467,79894.6378,81571.81899,88047.88485,85585.54705,79770.60378,84827.9477,96918.78276,97400.3207,85274.5385,73115.15032,76020.99201,54609.73692,37684.39243,34396.85246
Bristol,58969.38069,63083.58116,61182.57138,61770.60492,80822.48827,82697.95033,85423.12444,78515.244,69692.7693,66510.87254,68876.07362,66306.80473,54296.82664,44858.84364,43657.50369,32258.68552,22757.03794,22699.72084
Canterbury,51418.11623,56365.682,58280.86864,55618.82757,56046.04814,56693.76385,60900.77261,59002.66397,57226.4453,59995.84982,68629.02975,68909.017,59894.59513,53763.68786,58648.04124,42617.1869,28516.15234,26731.99161
Carlisle,22307.215,25239.7194,26687.23707,24690.16643,23524.22032,27643.15268,28269.66349,27838.46543,26265.05948,30308.28568,37688.68799,39775.07041,36467.73264,31761.20415,33486.26894,23608.84763,16733.73899,15251.28827
Chelmsford,203287.22908,210180.0886,209201.74329,185362.26291,186999.54584,223786.45292,250643.17732,244987.97418,227425.22144,214649.39429,221180.12011,204734.36793,171364.85772,140291.63415,141143.56272,101083.24366,71430.88046,70410.37521
Chester,86900.89113,98622.54909,101157.76784,87299.27533,79551.42917,94361.08575,105229.55553,106609.29386,103116.65668,109768.76673,122111.11153,122870.58774,105441.72243,91840.78886,95662.53552,68988.69818,49151.79998,46401.61157
Chichester,81070.01542,91339.01717,96279.78707,90179.22272,92866.15985,95094.82093,103752.77136,102841.53577,103405.14712,110937.72018999999,123392.53734,122515.13582,105992.36061,94225.69376,101803.51188,76088.91151,53286.81863,56452.09074
Coventry,49072.32401,53346.17553,54049.86081,55061.69581,61341.26805,57830.5631,62825.2016,59567.08551,55728.10606,55920.57484,60834.0025,58278.85548,48927.11937,41672.20924,42313.75862,33550.1091,23055.71154,22008.14317
Derby,54363.01701,60884.44706,62481.16269,56156.68649,57012.18996,65428.54817,67332.46246,65261.83524,62615.78224,69137.96812,80200.85412,79028.81293,67694.55789,58810.48315,60675.14814,45033.3273,29837.32903,27499.57494
Durham,74344.06615,83330.59369,86540.18407,81349.72903,82868.82336,87768.77797,93682.01211,90856.32969,84706.79638,89594.41506,105229.65285,109470.69492,99117.67906,85173.33637,83481.45472,57030.39067,42101.50474,36861.51085
Ely,42368.33201,47437.04682,47142.58355,45204.7518,50446.87548,54906.86252,57416.18737,54962.67388,52545.8173,52858.29044,55433.64944,53513.35358,45194.69599,39366.97472,40354.63436,29875.94424,20658.58718,19742.23275
Exeter,54489.71285,63606.05305,65543.48391,67391.83859,71475.03623,65632.33611999999,69740.83937,67978.15789,65550.06079,71574.25706,84998.53469,88695.00659,81624.80495,74245.939,79718.45999,59896.44162,40168.08058,40875.48981
Gloucester,34462.29241,38680.84143,39975.16499,36750.21706,35352.85119,39096.09203,42749.57944,42074.11976,40835.89221,43606.35623,50030.78865,51058.25533,44100.42305,38661.17696,40015.98062,30205.17419,20663.51813,20224.01521
Guildford,58066.5527,66006.57295,67804.22851,63482.3151,59077.03018,58362.66685,65817.63106,70331.23216,75497.39209,77777.75844,78016.62989,74830.7368,60887.98311,50103.57671,51929.60967,39627.65297,28235.40138,30908.23369
