diocese,age_under_1_year,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years,age_86_years,age_87_years,age_88_years,age_89_years,age_90_years,age_91_years,age_92_years,age_93_years,age_94_years,age_95_years,age_96_years,age_97_years,age_98_years,age_99_years,age_100_years_and_over
Bath and Wells,8740.95433,9104.924719999999,9283.68572,9581.94685,9880.22064,10327.10978,10199.01172,10241.0049,10801.27882,11114.00854,11244.75367,11350.01063,11032.5424,11253.41502,11078.84043,10848.5149,10752.88199,10949.1659,11266.00268,11415.3455,10886.29758,10921.06876,11326.22886,10786.19048,10251.08681,9987.11021,10313.8771,10722.31096,10630.71048,10936.05213,11253.37046,11347.25174,11570.83132,11591.54777,11172.19571,11123.35654,10972.57346,11023.32603,11001.4668,11133.06621,11462.41262,11258.75848,10982.2051,10483.46035,10371.23975,10765.29124,11469.01362,11958.69496,12635.2174,13503.27186,13710.42897,13615.28359,13862.08887,14096.14492,14206.27255,14718.65668,14425.56811,14437.03656,14132.3823,13832.84356,13208.21623,12634.11346,12651.03724,12378.3821,11891.47758,11410.07879,11566.04377,11833.7289,11515.77588,11660.64989,11552.21697,11932.95933,12419.77377,13177.55296,13185.8858,9998.73223,10641.85804,9447.94448,8911.28595,7570.93618,6868.5721,6916.71815,6434.57347,6031.51351,5482.18298,4880.80169,4443.50446,3848.69244,3410.24439,3137.22318,2832.29024,2253.75253,1822.95731,1512.77457,1181.50473,852.32166,671.46554,469.31585,333.62929,248.05736,355.68382
Birmingham,19211.84755,19909.50399,20339.36947,20623.48528,21505.25642,21610.97167,21717.61939,22112.02434,22872.89748,22918.539819999998,22934.66751,22504.50909,22918.83334,22694.31982,21937.22134,21714.87711,21803.53649,21711.86534,22523.27331,24949.67982,24632.79511,24248.2972,23595.68703,22497.75558,22483.72958,21737.98732,21872.82925,21886.48245,21943.46306,22476.99565,23300.27774,22936.07296,22613.77815,23079.97031,22968.31118,22551.32661,22387.09658,21987.48219,22083.06881,21533.49511,22160.68467,21690.78299,20491.06205,19286.63887,19444.09341,19108.58168,18908.27222,19105.09406,19782.26152,20363.11654,20884.62033,20560.90511,20979.71096,20348.38365,20068.94411,19813.34959,19338.00633,18699.1662,18599.08705,17982.15312,17259.96735,16470.82194,15919.01279,15329.38878,14491.73611,13391.17067,13274.15077,13294.22982,12842.18045,12389.08916,11960.21002,11826.56572,11994.71908,12519.61066,12346.77369,9520.17639,10332.43593,9657.87674,8993.81779,7731.71483,7090.26749,7280.41988,6892.0829,6283.04546,6066.72696,5449.05097,4765.08706,4010.80319,3828.49916,3329.46355,2796.6076,2331.84572,1844.40379,1496.20493,1112.90123,840.04908,634.23365,441.33802000000003,304.71337,185.31283,305.01237
Blackburn,13666.70371,14465.30796,14666.66596,14623.46399,15501.9235,15805.65681,15666.94625,15755.33437,16390.0772,16664.85649,16641.23526,16751.69259,16688.71358,16497.47435,16192.23942,16141.33496,16321.34947,15791.92729,15455.6288,15990.48477,15896.88612,15680.03816,15679.64376,15871.48967,16043.96748,15405.50296,15572.42443,16151.93889,16409.31073,17121.65772,17494.20948,17059.67816,17299.40886,17832.44431,17332.65121,17127.91776,17269.77145,16874.78508,16734.66373,16499.05092,16908.67423,16711.53716,15496.57605,14803.60621,14803.68108,15370.00132,15871.25758,16380.87321,17220.7827,18680.44096,18869.21034,18772.58943,19409.2406,19165.9745,19230.01624,19132.32224,19838.96199,19187.40829,19076.22765,18720.42547,18132.78183,17127.58222,16602.20397,16386.28788,15873.62396,15050.36038,14403.62044,14637.80939,14174.58837,13757.26242,14068.52559,14150.07926,15036.35367,15990.90169,15646.21981,11668.85448,11932.41211,11033.69617,10374.73906,8798.49543,8045.0976,8234.77728,7544.18392,7036.45714,6286.39538,5623.15482,5003.66313,4238.35065,3576.35975,3325.50948,2888.37212,2268.36893,1780.39166,1385.82216,1126.97524,805.59276,610.41105,426.14137,280.32245,234.9531,308.37254
Bristol,11241.29182,11557.85738,11840.66555,11957.71122,12094.08633,12287.29007,12443.98048,12316.98123,12829.75895,12869.5496,12732.91308,12285.59103,12159.41955,12191.53341,11520.32835,10983.90594,11083.8529,11052.24198,12704.77193,15855.37278,16717.8567,16418.99211,16062.68834,15785.32691,15690.6481,15797.9961,16447.15203,16492.87739,16632.75481,17083.18307,17221.81375,17150.82673,17152.04468,17012.44743,16601.15977,16483.59554,16095.12165,15724.13071,15106.94637,14918.08464,15187.84432,14678.11566,13663.04474,12989.05766,12877.95545,12661.83563,13086.87617,13163.9013,13457.46035,13803.47919,13978.68562,13547.65784,13635.13108,13422.94595,13899.99532,13722.43382,13653.98439,13186.41098,12991.76694,12341.69196,11771.36146,11068.33752,10936.74837,10362.6667,9744.94722,9371.86458,9125.67648,9141.15718,8596.04573,8289.69418,8324.5321,8461.12836,8470.24333,9317.03875,8845.77656,6776.85131,7261.2946,6565.4249,6223.00656,5219.73835,4802.93855,4971.82942,4589.4903,4261.50725,3918.42571,3486.47733,3198.64051,2732.9752,2514.79527,2210.9008,1914.32122,1525.07702,1261.45674,912.25661,754.19474,532.96801,415.90539,292.70912,197.69917,196.32984,224.94324
Canterbury,9465.52472,9985.274229999999,10444.65599,10761.97675,10668.69382,11096.30492,10865.24537,10888.67527,11623.15356,11793.51901,11678.44938,11686.45373,11839.16057,11607.45063,11408.54989,11091.30168,11106.41667,11110.2478,10965.31655,11208.95378,10966.28914,11471.98558,11381.29102,11268.16574,10976.85047,10672.95137,11124.79085,11294.2167,11789.68884,11745.10919,12159.68643,12158.35742,12219.74228,12307.73933,12025.93164,12048.16992,11851.32665,11659.93328,11593.12066,11698.16421,12134.51961,11980.47698,11398.4363,10700.93313,10903.97799,11157.28721,11467.67289,11788.0635,12635.14085,12979.11374,13600.54251,13449.26744,13826.04617,13755.70103,13920.75528,14202.79884,14163.14537,13806.34741,13640.55007,13109.13166,12683.29112,12126.29564,12100.3619,11710.30182,11261.65269,11010.80388,10911.76293,10801.34967,10542.0942,10532.27288,10656.12773,10972.07248,11413.21433,12805.12642,12792.07112,9371.50902,9865.34831,8738.90442,7875.97792,6727.40832,6248.13257,6275.7407299999995,5790.48943,5334.04226,4809.58042,4244.01898,3769.85289,3238.57352,2925.78608,2592.4231,2297.61246,1829.14088,1508.62521,1136.55005,926.65206,642.40683,475.65824,340.58736,268.35009,177.05148,284.08263
Carlisle,4156.47068,4314.04793,4474.68383,4500.59975,4850.59206,4903.97166,4872.08275,4986.06291,5129.6021,5280.2369499999995,5263.3516,5383.22501,5328.52475,5336.7327,5317.5582699999995,5286.9972,5259.83767,5326.57472,4636.09655,4116.36502,4059.94002,4400.1127,4851.9873099999995,4992.99544,5199.00568,5172.7411,5351.17172,5576.25121,5652.78653,5888.31199,5842.78503,5661.1857,5694.71508,5611.38272,5465.78259,5633.37765,5537.63228,5534.37982,5583.72717,5520.14631,5557.73487,5403.16667,5095.12801,5030.98852,5077.76211,5293.68677,5594.32217,6013.74776,6359.81134,6996.68211,7267.55415,7290.3327,7506.33161,7598.45937,7920.55678,7826.37767,8150.57131,8118.223,7972.50502,7645.16299,7616.54907,7552.14526,7437.71783,7127.61802,6697.72853,6402.79401,6433.60862,6449.63744,6249.18368,6200.53,6410.95838,6481.50424,6605.28422,7069.10695,6840.41022,5113.33059,5237.30583,4830.51395,4474.33439,3934.19345,3634.12571,3644.64064,3388.69501,3198.43067,2840.80283,2549.12992,2113.48573,1885.98217,1779.60853,1512.81163,1261.54073,1009.52927,805.56486,610.29403,464.87995,385.25005,264.95045,186.97326999999999,119.68045,102.4481,121.64375
Chelmsford,38521.73411,40620.3323,41103.07588,41397.09452,41840.85025,42483.51765,41091.97762,41620.66932,42572.05729,42676.9625,42573.44595,42428.14262,41797.34201,41992.1763,40693.59699,39178.43943,39566.37751,39123.93901,35521.1751,32257.30408,32533.4914,34745.69313,37899.53257,40220.81376,41678.91094,42045.93397,43275.81686,44741.48615,46397.95049,47251.69763,49135.15444,49432.02669,50559.78033,51246.6529,50147.58388,50018.63863,50017.64669,48565.31051,48201.1965,48141.24298,48929.27257,47777.39123,45344.68291,42840.26801,42716.93624,42544.14729,43089.93802,42530.74556,43134.52922,43609.53374,45178.7584,43997.81671,44527.24296,44147.60693,43723.1063,42969.81871,42532.41035,41382.8249,39792.62402,38398.73204,37597.26152,35418.94778,34186.34076,33044.43469,31473.42231,29601.10162,28927.2749,28067.4036,27546.60502,26425.90548,26334.4089,26724.41387,27337.23806,30291.13223,30638.44785,22210.99917,22787.21831,20677.29765,19558.04559,16051.00077,15020.4,15598.77918,14735.5663,13733.00361,12488.43669,11168.93885,10043.65687,8694.48274,7775.56307,7010.76866,5963.96135,4966.05049,3881.30136,2957.14522,2324.88649,1776.38888,1267.38455,944.28245,658.57697,438.97889,651.21187
Chester,16138.82944,16969.4438,17518.6143,18162.38408,18638.80821,19534.54564,18930.59414,19639.58475,20439.83202,20657.59528,20700.52004,20363.82491,20391.65099,20386.5334,19767.57927,19410.27747,19519.63613,18758.25562,16343.32388,13580.26857,13357.34488,14715.49827,16668.62115,17082.9353,18116.45292,17585.46702,18549.55381,19156.94342,19363.2472,20337.6912,21548.26019,20975.49375,20762.53955,21947.95059,20736.21102,21616.24373,21704.26789,21314.24619,21217.05037,21343.89277,21723.4844,21864.29862,20804.65041,19467.264,19760.18761,20257.8335,20991.30138,21488.99018,22863.1834,24375.27181,24548.74454,24019.01,24544.71036,24847.97929,24490.04791,24993.13353,25209.86234,24715.07694,24416.83827,23837.86778,22636.68012,21585.78731,21195.95093,20551.0719,19593.54832,18841.79125,18442.45066,18827.40065,17988.44184,17951.75714,18292.60609,18192.44427,18603.87522,20545.27793,19941.66841,14633.68917,15839.38597,14313.58161,13103.65414,11073.51388,10827.22436,10834.24531,9934.44592,9214.89866,8357.26972,7522.23514,6706.71403,5591.23679,5210.55299,4449.04673,3926.54995,3148.22399,2541.21565,1936.84866,1624.71411,1116.24878,874.45419,599.67767,384.88632,267.48759,476.19478
Chichester,14782.97061,15665.00435,16336.7181,16523.13558,17092.7511,17585.03033,17587.57834,17810.27368,18656.21822,19066.54785,19311.43113,19359.88687,19046.0141,19029.23722,18737.35904,18084.16634,18434.76814,18327.276,17586.12008,17154.38344,17946.85075,18390.43101,18932.98698,18665.99164,18361.99665,18341.03449,18385.52948,18667.52475,19051.29096,19889.65436,20621.04021,20318.39906,20521.70151,21106.28025,20329.88763,20278.14344,20345.00707,20299.30539,20295.17576,20783.54204,21505.15681,21386.34508,20636.81582,19507.98538,19639.28205,19941.11798,20925.92213,22019.39028,23131.47133,24195.95021,24200.708599999998,23707.71687,24789.67986,24808.63977,25218.243449999998,24881.81992,25397.65962,24793.66046,23763.89167,23071.36542,22288.85567,21538.024,21379.98793,20525.81713,19750.24655,19310.00964,19025.14294,18811.69584,18424.11677,18265.53503,18480.17906,18884.64302,19853.13319,21966.86657,22308.32909,16398.13792,17234.81755,15705.34358,14592.39627,11904.97858,11227.82496,11582.98297,10794.83807,10134.18589,9395.08302,8319.65858,7667.35764,6717.91309,5979.42162,5445.38403,4873.00231,3927.58151,3340.34974,2656.3261899999998,2101.78315,1583.60599,1131.6468,817.01942,555.4172599999999,465.39384,621.68907
Coventry,9336.12178,9640.11656,9995.16333,9972.82751,10265.69772,10362.76655,10535.85007,10533.85321,10934.22057,11170.83863,11110.94025,10824.2488,10972.34573,10753.7764,10559.75886,10016.96001,10319.11703,9972.97013,11343.45547,13515.6663,13644.14211,12952.95319,12068.05151,11443.46942,11284.45861,11419.05086,11223.76803,11450.21443,11552.4607,12180.66492,12482.78125,12703.43944,12484.48346,12840.54236,12278.21227,12185.73869,12114.17949,11710.64954,11602.91569,11983.08628,11924.40977,11793.15262,11189.90225,10562.7831,10381.32363,10724.55779,10853.12623,10900.4717,11526.45562,12042.39455,11995.12757,12165.62334,12454.02462,12223.65958,12112.55343,12048.88377,11950.77139,11657.56087,11383.40923,11267.85727,10691.46341,9939.94728,9793.02274,9445.04603,9079.61421,8548.9093,8486.41319,8515.5477,8152.74215,8030.44811,8060.77151,8342.76168,8402.70487,8753.65892,8885.24971,7267.29505,7581.85098,7179.94479,6358.3968,5221.509,5000.68108,4937.24374,4855.72692,4326.33083,3980.13278,3636.13764,3057.97074,2740.62962,2352.80867,2089.47222,1917.39606,1529.01277,1212.29508,925.9790399999999,759.38087,504.66144,380.70281,299.6929,225.76804,150.82656,226.03258
