diocese,asian,african_caribbean_black,mixed,white,other
Bath and Wells,18312.65965,5393.24907,15959.32541,934300.84118,5285.62591
Birmingham,423900.50427,146119.91278,72102.43746,895405.54631,62760.7751
Blackburn,155819.28859,9639.50925,22698.70781,1175103.73239,11358.61929
Bristol,71152.40855,39193.99146,36199.73323,902136.53717,15534.40658
Canterbury,34129.60292,17204.85408,21172.92441,896122.29567,10885.59796
Carlisle,4876.54566,1189.49976,3983.14884,485679.04511,1699.51667
Chelmsford,513282.84374,260726.45736,113838.71668,2308017.26601,82420.85109
Chester,64348.89096,12754.88248,31237.54523,1551494.12345,15332.97815
Chichester,62935.64163,21281.2477,46217.27985,1548937.12306,22161.95022
Coventry,100803.75536,38570.34379,24501.66645,712494.64936,18779.56702
Derby,53103.23438,14681.12753,20903.0538,970416.72455,10406.11539
Durham,35481.64942,10153.70206,15480.45653,1401738.30224,10394.00189
Ely,44701.60461,13767.63599,22869.27086,717583.11677,10511.1707
Exeter,20011.84999,5690.47878,17626.20967,1162579.17085,7056.5754
Gloucester,18901.0743,7944.41759,14860.21797,642198.50066,4526.57828
Guildford,86450.52503,16129.81549,33853.97979,921529.78877,19152.02068
Hereford,3671.09622,1414.47921,3634.66045,314897.79218,1372.82531
Leeds,380027.93425,74868.60034,70033.07505,2229137.6818,42835.8607
Leicester,218080.48647,36668.42732,29538.03561,778949.23135,22683.72029
Lichfield,218437.05234,69543.3207,57121.70962,1819375.45892,33132.29674
Lincoln,19973.70091,5972.03801,13531.22167,1044327.91131,6733.23362
Liverpool,47731.8553,24384.99291,32559.87976,1493288.80594,23295.5629
London,998594.45837,476987.48795,237318.8595,2176933.02289,356532.49391
Manchester,349573.23989,125787.45311,72759.14848,1623497.19945,58471.56588
Newcastle,42927.85745,11796.93864,12381.49534,752467.60355,11392.06881
Norwich,19320.79662,8375.11281,15324.81212,876611.60682,6400.79076
Oxford,313071.71688,93159.79687,87838.48657,1979059.08032,48882.94706
Peterborough,61800.77108,37200.99639,25800.42909,831888.47128,12483.27647
Portsmouth,23066.10331,10386.25034,13531.67803,728642.11272,6088.74184
Rochester,97033.82824,83563.75585,46789.21662,1124927.72634,23890.91411
Salisbury,18239.78853,7364.84798,15210.82932,927877.74113,6077.1069
Sheffield,77523.86117,33051.95213,29186.97938,1091127.45414,24678.1555
Southwark,356574.51882,473918.75665,186730.22922,1734741.84007,125830.50324
Southwell and Nottingham,73077.25089,42253.37499,36477.3793,993518.75385,16801.66789
St Albans,228055.24669,88571.04979,75549.43643,1531260.10219,42963.13744
St Edmundsbury and Ipswich,16594.9258,9835.17654,16727.26594,630846.97737,6715.38059
Truro,4024.66828,1059.5769,7017.16606,553895.99649,6075.35174
Winchester,62752.61356,18646.38005,31160.04994,1126666.23522,15765.49467
Worcester,46806.51023,13242.80003,20267.64733,821366.6479,8016.32735
York,41372.08343,12784.21095,19598.15696,1369958.3951,13746.56891
