diocese,very_good,good,fair,bad,very_bad
Bath and Wells,464879.23544,337162.85654,128888.51635,37901.9354,10545.58458
Birmingham,762017.17955,535283.81647,210035.43457,70491.5985,22390.00482
Blackburn,637997.0319,458791.68484,192433.52124,65622.25587,19641.94407
Bristol,531878.44934,358484.78078,125332.02968,37640.76864,10876.40755
Canterbury,450649.56199,339212.47296,134943.29051,42267.83057,12244.81063
Carlisle,227120.5627,171344.51022,70482.32659,22238.29387,6206.19125
Chelmsford,1628781.57309,1112362.9115,386365.48808,115570.19263,35071.44699
Chester,820395.00411,547407.10488,214185.49264,71939.8426,21374.04763
Chichester,807674.34415,588936.42173,220482.88967,65790.17636,18710.90992
Coventry,433976.64404,305425.61232,111857.02225,33865.24586,9953.48025
Derby,481672.40038,371367.75404,153968.96589,48651.00113,13972.44426
Durham,NA,NA,NA,NA,NA
Ely,394110.32534,281915.98204,98385.33592,27395.32284,7655.0875
Exeter,561169.13076,414143.53638,168879.22502,53529.38208,15300.61632
Gloucester,334872.41567,237896.06967,85612.74527,23606.13352,6478.17152
Guildford,581361.22668,351102.2778,109109.41892,27698.13324,7773.77212
Hereford,147149.08613,114301.56466,45973.84276,13719.16699,3865.89054
Leeds,NA,NA,NA,NA,NA
Leicester,526555.62371,373153.63441,135804.41352,39062.33156,11421.11425
Lichfield,991217.84821,763937.1775,309670.42759,102124.43294,30474.38102
Lincoln,469094.65555,392520.65014,164047.64347,50807.61707,14078.724
Liverpool,762016.025,518696.99859,223306.85389,89224.48055,27811.9077
London,2281812.17338,1336687.9805,438149.91848,141775.4658,47843.678
Manchester,1083689.12704,723379.51612,288197.72016,103758.9651,31108.68289
Newcastle,382194.92595,277466.4732,119082.87571,40491.25583,11591.93883
Norwich,397561.51505,337538.70204,138741.59389,41081.66191,11144.17109
Oxford,1327869.59202,845062.38475,262785.69637,67849.93336,18492.29641
Peterborough,460561.85216,343761.24473,120672.77063,34703.31124,9532.19563
Portsmouth,359264.24417,276272.72667,106366.45232,31170.70273,8567.4572
Rochester,701677.93464,458857.98794,157209.57991,45460.73065,13067.12337
Salisbury,458873.24308,339314.25687,129297.43761,36892.01725,10359.09084
Sheffield,565372.02807,426435.91132,180494.45013,64086.44029,19045.00933
Southwark,1571710.93162,906211.36776,287819.98179,85481.68481,26536.83184
Southwell and Nottingham,536536.06627,395949.01919,161114.23658,52497.20479,15656.35544
St Albans,1010923.59443,658906.66905,218708.7661,60773.19809,16963.14276
St Edmundsbury and Ipswich,315011.86582,243536.12839,90508.83194,24978.23858,6689.97891
Truro,261856.51425,191790.17299,83146.79492,27028.097279999998,8316.50226
Winchester,615718.68314,434985.662,150326.18209,42248.4431,11757.90102
Worcester,415498.55571,318982.83076,125342.24727,38862.93086,11107.31686
York,NA,NA,NA,NA,NA
