diocese,no_religion,christian,buddhist,hindu,jewish,muslim,sikh,other_religion,not_answered
Bath and Wells,426822.49261,468077.80628,3605.01064,2439.98291,933.54689,5818.63042,472.9056,6206.26891,64855.50452
Birmingham,416950.232,604865.124,5499.00834,31873.44494,2050.65648,379994.69465,56943.39716,8537.66716,93478.57294
Blackburn,421298.88151,720711.1056,3689.27289,8207.89887,1123.66604,139118.60559,1885.44509,5590.76896,72903.15202
Bristol,499800.82096,422427.13614,5764.0547,12709.8191,1609.38281,43288.65307,4786.13687,6731.25129,67095.56798
Canterbury,414485.49519,468134.17627,6291.51545,10116.48346,1274.06981,13730.15192,1105.93304,6938.38655,57335.0492
Carlisle,177992.31736,283739.29204,1559.00157,700.34128,231.30904,2177.58863,104.99062,1876.41635,29031.2045
Chelmsford,1062277.99833,1450456.51283,14944.18013,93696.15783,20064.66931,387251.57226,39190.88237,17755.81804,192569.41118
Chester,633589.61565,884694.84538,5306.85238,11871.18561,4618.67492,37392.42284,2003.91556,6515.84691,89281.64313
Chichester,758530.91382,758421.30825,8750.12354,14072.77818,5308.03691,33784.55656,1973.22068,12038.70379,108601.57075
Coventry,309586.27635,425626.37599,3486.66006,24092.09916,821.99507,44902.81238,29468.05222,4842.67524,52415.84744
Derby,454626.05933,492914.63571,2789.77938,5181.9688400000005,544.22906,33228.051,13156.6817,5235.10383,62003.5003
Durham,579436.06772,780182.01855,3437.26902,3396.40014,3411.79519,23061.64032,3523.78578,5430.49323,71477.22285
Ely,344945.1141,370889.79173,4125.74275,8794.02385,2097.60815,16993.03064,1606.28423,4571.93261,55507.36056
Exeter,549620.87041,559491.19857,4841.55949,2443.68263,1200.31123,9070.99295,538.46253,7838.51248,78129.60893
Gloucester,285113.15718,339573.01325,2515.92397,3879.23954,715.07653,9532.31633,823.94185,3724.61809,42614.67138
Guildford,399833.26012,531010.07382,10659.89181,22532.22212,2691.44078,33102.7032,4649.69333,5839.25184,66709.86595
Hereford,118791.39116,179636.95183,1036.02796,509.25451,209.22117,1287.16318,480.72861,1611.14933,21399.56339
Leeds,1032305.92734,1197664.25651,7763.3078,19750.08681,7448.46042,343885.74565,19583.64034,11789.86489,156672.83148
Leicester,374621.67823,419076.83419,3172.72412,92070.16131,848.48442,102473.30186,28373.15037,5351.12761,59881.25045
Lichfield,760552.24075,1081258.60891,6312.6069,27420.23744,825.45103,112112.30294,76863.61695,12698.90032,119507.57571
Lincoln,430979.93241,569740.2771,2639.48834,3328.7896,616.82031,11517.6908,1419.97536,5040.14264,65310.56397
Liverpool,485828.41579,991302.10128,4833.8116,8037.91485,2574.90265,36525.46332,1469.46333,5683.19305,84848.50611
London,1033979.18367,1589675.2208,41479.30671,273141.66771,121623.10384,720319.62541,96805.56868,57325.25626,311560.57175
Manchester,694823.15015,1003902.80369,7608.96704,20900.87988,24696.00915,347550.44985,6366.64776,8402.8629,115912.72348
Newcastle,348125.07358,392520.63882,2708.68769,5493.74851,868.63744,31089.79429,2541.77104,3434.10726,44041.81154
Norwich,415405.92398,429151.80153,3444.92319,3795.58761,1152.93774,8269.21978,563.44048,5388.58996,58824.67434
Oxford,905127.701,1144381.0144,15209.21201,73439.99443,6014.92644,166389.22567,40623.99595,13223.00717,157730.71963
Peterborough,372828.82211,470778.59817,3096.99289,12391.22567,899.42059,42617.12967,4552.79951,5110.53178,56961.84545
Portsmouth,355771.61588,354553.0511,2854.9764,3163.5575,679.6241,13057.39358,800.03936,4472.6933,46407.03045
Rochester,530889.75809,665653.19118,6810.24665,27018.74015,2041.51026,36808.89448,21096.49811,6661.41431,79242.08192
Salisbury,401467.80794,488826.67911,4506.97116,3765.03861,1315.15649,6470.93794,569.68568,6198.61908,61607.1402
Sheffield,522595.3219,565383.38698,3780.33059,5842.93271,892.55464,77918.93414,2854.00297,5723.43133,70506.52508
Southwark,971529.56912,1305697.17319,26087.29505,97141.14164,9542.32067,236236.24922,11764.32628,18864.1112,200909.32178
Southwell and Nottingham,508233.91991,501057.22045,4038.36635,10539.6195,1661.03262,50814.38057,8201.30545,6067.4571,71271.0532
St Albans,684323.11195,900781.14265,9372.87624,51040.68546,31590.97504,143005.86252,14726.26353,13944.78431,117496.21902
St Edmundsbury and Ipswich,295274.89831,324098.7247,2545.12098,2851.49607,729.07871,8930.34332,744.99143,3548.38457,42074.27433
Truro,264875.35928,260048.45637,2079.29289,544.44743,507.14951,1336.09873,130.46433,4387.95582,38250.87963
Winchester,528624.32223,585404.26028,6937.33722,13252.02945,2280.90805,25704.44707,6832.854,7720.56078,78203.42803
Worcester,340065.0902,466844.9656,2434.5735,4169.698,484.40149,31303.927,8439.88895,4128.84414,51916.57392
York,602734.48308,717321.34123,4362.2800800000005,4837.8799,996.30895,32949.32318,1941.79466,6010.29978,86425.50016
